TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency
2025/10/15 14:27,1.76054E+12,covergen-git-credits-jeff-lees-projects-92a56a05.vercel.app/api/bestauth/subscription/upgrade,POST,,500,jdt5h-1760538422848-790f9d692b3b,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",error,preview,credits,,lambda,/api/bestauth/subscription/upgrade,covergen-git-credits-jeff-lees-projects-92a56a05.vercel.app,covergen-git-credits-jeff-lees-projects-92a56a05.vercel.app,dpl_Bed2ouDfGUvbysjgZq1AGdWR9RsQ,853,iad1,139,2048,,prj_Sbvh6SwMzvZvs947NmAyTf7jX90k,,,01K7M48VZY5D4YGS6PZB12ZA4A,FYaTCZbSsxvF,1
2025/10/15 14:27,1.76054E+12,covergen-git-credits-jeff-lees-projects-92a56a05.vercel.app/api/bestauth/subscription/upgrade,POST,,200,jdt5h-1760538422848-790f9d692b3b,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",info,preview,credits,,edge-middleware,/src/middleware,covergen-git-credits-jeff-lees-projects-92a56a05.vercel.app,covergen-git-credits-jeff-lees-projects-92a56a05.vercel.app,dpl_Bed2ouDfGUvbysjgZq1AGdWR9RsQ,-1,iad1,-1,-1,[bestauth] / status=200,prj_Sbvh6SwMzvZvs947NmAyTf7jX90k,,,01K7M48VMP90VRJCW791XGKT0H,o3qZaD2JkIFi,-1
2025/10/15 14:00,1.76054E+12,covergen-git-credits-jeff-lees-projects-92a56a05.vercel.app/api/bestauth/subscription/upgrade,POST,,500,clfdf-1760536857602-73fb5b2c62c8,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",error,preview,credits,,lambda,/api/bestauth/subscription/upgrade,covergen-git-credits-jeff-lees-projects-92a56a05.vercel.app,covergen-git-credits-jeff-lees-projects-92a56a05.vercel.app,dpl_DBAS1H1sWn5NyheLwSmvUDte2QkN,924,iad1,140,2048,,prj_Sbvh6SwMzvZvs947NmAyTf7jX90k,,,01K7M2S3E44CS52H2DGHXE1G0H,bynVcLqFlfIp,1
2025/10/15 14:00,1.76054E+12,covergen-git-credits-jeff-lees-projects-92a56a05.vercel.app/api/bestauth/subscription/upgrade,POST,,200,clfdf-1760536857602-73fb5b2c62c8,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",info,preview,credits,,edge-middleware,/src/middleware,covergen-git-credits-jeff-lees-projects-92a56a05.vercel.app,covergen-git-credits-jeff-lees-projects-92a56a05.vercel.app,dpl_DBAS1H1sWn5NyheLwSmvUDte2QkN,-1,iad1,-1,-1,[bestauth] / status=200,prj_Sbvh6SwMzvZvs947NmAyTf7jX90k,,,01K7M2S32PHVG794NT458ANK4S,bqgwlfMRm465,-1
