TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency
2025/10/15 11:45,1.76053E+12,covergen-git-credits-jeff-lees-projects-92a56a05.vercel.app/api/bestauth/subscription/upgrade,POST,,500,x6zws-1760528723311-3bd0d3b07b6a,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",error,preview,credits,,lambda,/api/bestauth/subscription/upgrade,covergen-git-credits-jeff-lees-projects-92a56a05.vercel.app,covergen-git-credits-jeff-lees-projects-92a56a05.vercel.app,dpl_5ScrMUC584tPAecQ1ZycAXanCdq5,731,iad1,144,2048,,prj_Sbvh6SwMzvZvs947NmAyTf7jX90k,,,01K7KV0VSPD4HNFYF05YBDW6XJ,mMM5vSchfS61,1
2025/10/15 11:45,1.76053E+12,covergen-git-credits-jeff-lees-projects-92a56a05.vercel.app/api/bestauth/subscription/upgrade,POST,,200,x6zws-1760528723311-3bd0d3b07b6a,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",info,preview,credits,,edge-middleware,/src/middleware,covergen-git-credits-jeff-lees-projects-92a56a05.vercel.app,covergen-git-credits-jeff-lees-projects-92a56a05.vercel.app,dpl_5ScrMUC584tPAecQ1ZycAXanCdq5,-1,iad1,-1,-1,[bestauth] / status=200,prj_Sbvh6SwMzvZvs947NmAyTf7jX90k,,,01K7KV0VDVXBM80Z0CV8D6F427,0FoAfTLNqG3T,-1
2025/10/15 11:32,1.76053E+12,covergen-git-credits-jeff-lees-projects-92a56a05.vercel.app/api/bestauth/subscription/upgrade,POST,,500,v45cr-1760527926843-9318223c59e4,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",error,preview,credits,,lambda,/api/bestauth/subscription/upgrade,covergen-git-credits-jeff-lees-projects-92a56a05.vercel.app,covergen-git-credits-jeff-lees-projects-92a56a05.vercel.app,dpl_D162JYdv5aGf5j9qgY3Cjg6kum13,444,iad1,139,2048,,prj_Sbvh6SwMzvZvs947NmAyTf7jX90k,,,01K7KT8J2T94GJCAPFR21GH0FX,iHkHcr7BaIfy,1
2025/10/15 11:32,1.76053E+12,covergen-git-credits-jeff-lees-projects-92a56a05.vercel.app/api/bestauth/subscription/upgrade,POST,,200,v45cr-1760527926843-9318223c59e4,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",info,preview,credits,,edge-middleware,/src/middleware,covergen-git-credits-jeff-lees-projects-92a56a05.vercel.app,covergen-git-credits-jeff-lees-projects-92a56a05.vercel.app,dpl_D162JYdv5aGf5j9qgY3Cjg6kum13,-1,iad1,-1,-1,[bestauth] / status=200,prj_Sbvh6SwMzvZvs947NmAyTf7jX90k,,,01K7KT8HPNAQ278RK0377YE4ZD,3OEzhvYAzdG1,-1
